2019-05-31 21:25:44.053 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-05-31 21:25:44.095 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@65c7a252, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4d154ccd, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@229c6181, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4686afc2, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1e0b4072, org.springframework.test.context.transaction.TransactionalTestExecutionListener@791f145a, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@38cee291, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4b45a2f5, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@f09733f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@e350b40, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@41a0aa7d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2794eab6]
2019-05-31 21:25:44.193 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-05-31 21:25:44.223 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@65c7a252, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4d154ccd, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@229c6181, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4686afc2, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1e0b4072, org.springframework.test.context.transaction.TransactionalTestExecutionListener@791f145a, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@38cee291, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4b45a2f5, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@f09733f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@e350b40, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@41a0aa7d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2794eab6]
2019-05-31 21:32:32.839 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.haozi.spring_security.admin.controller.SysUserControllerTest], using SpringBootContextLoader
2019-05-31 21:32:32.861 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.haozi.spring_security.admin.controller.SysUserControllerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-05-31 21:32:32.862 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.haozi.spring_security.admin.controller.SysUserControllerTest]: SysUserControllerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-05-31 21:32:33.195 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration cn.haozi.spring_security.SpringSecurityApplication for test class cn.haozi.spring_security.admin.controller.SysUserControllerTest
2019-05-31 21:32:33.346 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-05-31 21:32:33.383 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@65c7a252, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4d154ccd, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@229c6181, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4686afc2, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1e0b4072, org.springframework.test.context.transaction.TransactionalTestExecutionListener@791f145a, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@38cee291, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4b45a2f5, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@f09733f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@e350b40, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@41a0aa7d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2794eab6]
